family_id,country,doc_number,kind,title,abstract,publication_date
100414244,WO,2026144376,A1,VACUUM CLEANER AND VACUUM CLEANING SYSTEM,"The present invention relates to the field of vacuum cleaners, and specifically provides a vacuum cleaner and a vacuum cleaning system. By means of simple structural design, the vacuum cleaner can be effectively emptied, and even fine dust can be thoroughly cleaned. The vacuum cleaner comprises: a primary dust collection unit comprising a primary dust chamber and a primary dust outlet lid; and a secondary dust collection unit arranged in the primary dust collection unit and comprising a secondary dust chamber and a secondary dust outlet lid, wherein the side of the secondary dust outlet lid facing the secondary dust chamber is used as a lid opening side, and the lid opening side forms a hollow area communicated with a dust outlet of the secondary dust chamber and capable of accommodating dust; the dust outlet of the secondary dust chamber is located inside the primary dust chamber, and is closer to the top surface of the primary dust chamber than a dust outlet of the primary dust chamber; in a floor cleaning state, the secondary dust outlet lid and the primary dust outlet lid respectively seal and close the two dust outlets; and in an emptying state, the primary dust outlet lid can be rotated to drive the secondary dust outlet lid away from a closed position, thereby exposing the two dust outlets.",20260709
100434479,WO,2026146853,A1,STATION AND CLEANING DEVICE,"Disclosed are a station for a robot cleaner having a wet mop and a cleaning device comprising same. The cleaning device comprises a robot cleaner comprising a detachable wet mop, and a station to which the robot cleaner can be docked, wherein the station comprises: a water supply container for storing water; a heating device for heating water supplied from the water supply container; a pump connected to the water supply container; and a solution container which is connected to the pump and stores liquid to be supplied to the water supply container. The pump can operate in a first mode for sucking in the liquid from the solution container and pumping the liquid to the water supply container, and a second mode for sucking in the water from the water supply container and pumping the water to the heating device.",20260709
100434577,WO,2026147051,A1,CLEANER,"This cleaner comprises: a housing including a mounting bracket; a drum module movably accommodated in the mounting bracket; and a lift device which is mounted on the mounting bracket, and which lifts or lowers the drum module. The drum module includes: a drum case connected to the lift device; a drum rotatably mounted in the drum case; and a connection part rotatably coupled to the drum case and rotatably coupled to the mounting bracket.",20260709
100434657,WO,2026146803,A1,CLEANER,This cleaner comprises: a housing; and a traveling device for moving the housing. The traveling device comprises: a traveling wheel module comprising a traveling wheel movable with respect to the housing in a first direction toward the inside of the housing and a second direction toward the outside of the housing; a lifting wheel module comprising a lifting wheel movable with respect to the housing in the first direction and the second direction; and a movement module operable in a first mode for moving the lifting wheel in the first direction toward the inside of the housing and moving the traveling wheel in the second direction toward the outside of the housing and a second mode for moving the lifting wheel in the second direction toward the outside of the housing and moving the traveling wheel in the first direction toward the inside of the housing.,20260709
100434462,WO,2026146807,A1,CLEANER,"This cleaner comprises: a housing; a pad rotating device which is provided to rotate a cleaning pad, and is movable to a first position and a second position that is farther from the center of the housing than a distance from the center of the housing at the first position; and a pad moving device for moving the position of the cleaning pad, wherein the pad moving device comprises: a movement driving source; a transmission lever which is rotatable in a first direction by receiving power from the movement driving source; a guide lever which is coupled to the pad rotating device and is rotatable in a second direction opposite to the first direction on the basis of rotation of the transmission lever; and an elastic body provided to elastically support the guide lever. The transmission lever comprises a first coupling portion which is coupled to a first end of the elastic body and moves in conjunction with the rotation of the transmission lever, and the guide lever comprises a second coupling portion which is coupled to a second end of the elastic body and is moved by the elastic force of the elastic body.",20260709
100435261,WO,2026147223,A1,CLEANER,"This cleaner comprises: a housing including a suction port; a brush holder provided to be elastically deformed; a side brush disposed on the brush holder and provided to rotate so as to guide, toward the suction port, foreign substances on a surface being cleaned; a rotatable frame which is coupled to the side brush and rotates to rotate the side brush; a driving device which is disposed in the housing and provided to rotate the rotatable frame; and a movable frame which can be rotatably coupled to the rotatable frame, wherein, in the brush holder, the side brush, the rotatable frame, the driving device, and the movable frame, when the movable frame is coupled to the rotatable frame and the rotatable frame is rotated by the driving device, the movable frame moves vertically and pushes the brush holder to elastically deform the brush holder in order to lift the side brush, and thus, the side brush can be spaced apart from the surface being cleaned.",20260709
100435008,WO,2026146852,A1,STATION AND CONTROL METHOD THEREFOR,"A station, according to one aspect of the disclosed invention, in which a cleaner including a mop cloth is docked may comprise: a water supply container for storing water supplied to a cleaner; a sewage container for storing sewage generated when a mop cloth is washed; a first sensor for detecting the water level of the water supply container; a second sensor for detecting the water level of the sewage tank; a connection terminal which is detachably provided at the station, and which outputs a predetermined signal when a water supply and drain device for supplying the water from a water supply source to the water supply container, and discharging the water of the sewage container to the outside is coupled to the station; a power device for supplying power to the water supply and drain device through the connection terminal; and a control unit for determining whether the station and the water supply and drain device are coupled, on the basis of a first output of the first sensor, a second output of the second sensor and whether the predetermined signal is output, and controlling the power device so as to supply power to the water supply and drain device when it is determined that the station and the water supply and drain device are coupled.",20260709
100213185,DE,102025100274,A1,Staubsauger und Saugleitungsadapter,"Die Erfindung betrifft einen Staubsauger (1) mit einer Staubsaugerdüse (2), welche ein Düsengehäuse (5), einen unterseitig an dem Düsengehäuse (5) ausgebildeten Saugmund (8) und einen mit dem Saugmund (8) strömungstechnisch verbundenen Sauganschlussstutzen (9) aufweist, mit einem Saugreinigungsgerät (3), welches einen Sauganschluss (11) aufweist, und mit einer den Sauganschlussstutzen (9) der Staubsaugerdüse (2) mit dem Sauganschluss (11) des Saugreinigungsgeräts (3) strömungstechnisch verbindenden Saugleitung (4), welche zumindest einen Saugleitungsadapter (13) mit einem ersten Ende (A) und einem zweiten Ende (B) aufweist, wobei das erste Ende (A) einen ersten Strömungsanschluss (15a) zum unmittelbaren oder mittelbaren Anschluss an den Sauganschlussstutzen (9) und eine erste Kontaktstelle (16a) aufweist, wobei das zweite Ende (B) einen in dem Saugleitungsadapter (13) mit dem ersten Strömungsanschluss (15a) strömungstechnisch verbundenen zweiten Strömungsanschluss (15b) zum unmittelbaren oder mittelbaren Anschluss an den Sauganschluss (11) und eine mit der ersten Kontaktstelle (16a) elektrisch verbundene zweite Kontaktstelle (16b) aufweist. Erfindungsgemäß weisen der erste Strömungsanschluss (15a) und der zweite Strömungsanschluss (15b) zueinander nicht kompatible geometrische Formen auf, weisen die erste Kontaktstelle (16a) und die zweite Kontaktstelle (16b) zueinander nicht kompatible geometrische Formen auf und/oder sind die erste Kontaktstelle (16a) und die zweite Kontaktstelle (16b) zum Betrieb mit unterschiedlichen elektrischen Parametern eingerichtet.",20260709
100212971,DE,102025100158,A1,Kaffeeautomat und Verfahren zur Bereitstellung eines Kaffeegetränks mittels eines derartigen Kaffeeautomaten,"Vorgestellt wird ein Kaffeeautomat (1), der mindestens einen Wasseranschluss oder einen Wasserbehälter (2) zur Bereitstellung von Frischwasser, ein Strömungsleitungssystem (3), eine Heizeinrichtung (4), eine elektronische Steuerungsvorrichtung (5) und ein Mahlwerk (6) oder einen Vorratsbehälter zur Bereitstellung gemahlenen Kaffeepulvers umfasst, wobei das Kaffeepulver über einen Fallschacht (7) in eine Brüheinheit (8) überführt wird, in der das Kaffeepulver zur Herstellung eines Kaffeegetränks mit Wasser zusammengeführt wird, das eine Brühtemperatur aufweist.Die Erfindung ist dadurch gekennzeichnet, dass der Fallschacht (7) als Ionisierungsvorrichtung ausgebildet ist oder eine Ionisierungsvorrichtung (9) aufweist oder dass dem Fallschacht (7) eine Ionisierungsvorrichtung (9) zugeordnet ist.",20260709
100213135,DE,102025100144,A1,"Haushaltsgerät, vorzugsweise Bodenpflegegerät, besonders vorzugsweise Staubsauger, ganz besonders vorzugsweise Handstaubsauger","Die Erfindung betrifft ein Haushaltsgerät (1), vorzugsweise ein Bodenpflegegerät (1), besonders vorzugsweise einen Staubsauger (1), ganz besonders vorzugsweise einen Handstaubsauger (1), mit einer Steuerungseinheit (14), mit einer Gleichspannungsversorgungsschnittstelle (13a), welche ausgebildet ist, ein, vorzugsweise aktives, Zubehörteil (2) elektrisch leitfähig zu kontaktieren, und mit einer Schalteinrichtung (T1, T2, D1), welche ausgebildet ist, die Gleichspannungsversorgungsschnittstelle (13a) zwischen einer ersten und einer zweiten Polarität umzuschalten, wobei die Steuerungseinheit (14) ausgebildet und eingerichtet ist, mit der Schalteinrichtung (T1, T2, D1) die erste Polarität einzustellen, um ein Zubehörteil (2) zu betreiben, oder mit der Schalteinrichtung (T1, T2, D1) die zweite Polarität einzustellen, um das Zubehörteil (2) zu identifizieren. Das Haushaltsgerät (1) ist dadurch gekennzeichnet, dass die Steuerungseinheit (14) ferner ausgebildet und eingerichtet ist, im Zustand der zweiten Polarität eine veränderliche elektrische Größe des Zubehörteils (2), welche von einem Zustand des Zubehörteils (2) abhängig ist, zu erfassen und auszuwerten.",20260709
100434937,WO,2026147843,A1,VACUUM CLEANER,"A vacuum cleaner includes an airflow source including an impeller rotatable about an axis and a motor operable to rotate the impeller about the axis in a first direction to generate a suction airflow. The motor is further operable to rotate the impeller about the axis in a second direction, opposite the first direction, to generate a discharge airflow, the discharge airflow configured to expel debris from the separator.",20260709
100393836,US,20260191363,A1,MODULAR COOKING SYSTEM,"A modular cooking system for cooking food using interchangeable cooking modules includes a main body which defines a plurality of bays, each of which is open on a front side of the main body. Each one of a plurality of front cooking modules is receivable into an associated bay of the plurality of bays. Each front cooking module is configured to perform an associated cooking function. The front cooking modules may include, for example, a conventional oven, a convection oven, a microwave, a sous vide device, a pressure cooker, an air fryer, a deep fat fryer, a stovetop-style burner, or the like.",20260709
100434938,WO,2026147840,A1,VACUUM CLEANER,"A vacuum cleaner includes an inlet, an airflow source, and a separator is in fluid communication with the inlet and the airflow source. The separator is configured to separate the debris from a suction airflow. The separator includes a separator inlet that receives the debris and the suction airflow, a separator outlet that discharges the suction airflow, a debris collector configured to store debris separated from the suction airflow, and a filter including a filter media and a frame. The filter media is configured to separate debris from the suction airflow. The frame includes an agitator that engages the filter media. A motor is operable to vibrate the agitator such that the agitator contacts the filter media to vibrate the filter media to dislodge debris from the filter media.",20260709
100213153,DE,102025100252,A1,Vorrichtung zum Etikettieren von Behältern und zugehöriges Betriebsverfahren,"Die Erfindung betrifft u.a. eine Vorrichtung (10) zum Etikettieren von Behältern. Die Vorrichtung (10) weist einen Behälterförderer (12) und mindestens ein Etikettieraggregat (20, 22) zum Etikettieren der Behälter, das an einer Peripherie des Behälterförderers (12) angeordnet ist, auf. Die Vorrichtung (10) weist ferner eine Robotereinrichtung (38) auf. Die Robotereinrichtung (38) ist dazu ausgebildet, das mindestens eine Etikettieraggregat (20, 22) automatisch mit Verbrauchsmaterial zu versorgen und mindestens ein Rüstteil des Behälterförderers (12) und/oder des mindestens einen Etikettieraggregats (20, 22) bei einem Umrüsten der Vorrichtung (10) automatisch zu wechseln oder automatisch zu verstellen.",20260709
100435417,WO,2026145340,A1,"CLEANING ASSEMBLY, FLOOR BRUSH ASSEMBLY, BASE STATION AND CLEANING APPARATUS","The present application relates to a cleaning assembly, a floor brush assembly, a base station and a cleaning apparatus. The cleaning assembly is configured to clean a roller brush, and the cleaning assembly comprises: a scrubbing member, which comprises a scrubbing plate, the scrubbing plate being provided with protrusions, and the protrusions being arranged on the side of the scrubbing plate facing the roller brush and extending into the roller brush; and a driving component, which is configured to drive the scrubbing member to reciprocatingly move in the axial direction of the roller brush. The scrubbing member can reciprocatingly scrub the roller brush in the axial direction thereof, so as to simulate a hand-scrubbing action. Moreover, in conjunction with the rotation of the roller brush, the scrubbing member can perform all-around cleaning on the roller brush without dead zones; and the protrusions extend into the roller brush and operate in tandem with the reciprocating motion of the scrubbing plate, such that bristles of the roller brush can be separated, allowing the scrubbing member to more deeply clean dirt trapped within the bristles, thereby improving the effect and efficiency of cleaning the roller brush.",20260709
100435272,WO,2026147217,A1,REMOTE CONTROL DEVICE AND CONTROL METHOD THEREOF,A remote control device according to an embodiment of the present disclosure may comprise: an input unit including one or more buttons configured to receive a user input; a processor configured to generate a control signal of an external device; a power supply unit configured to supply power to the processor; an energy harvester capable of generating power; and a switch configured to electrically connect or disconnect the power supply unit and the processor. The energy harvester may be configured to generate power in response to the user input and to supply the generated power to the switch.,20260709
100435544,WO,2026145781,A1,BASE STATION AND CLEANING SYSTEM,"A base station, configured to dock with a cleaning device. The base station comprises a base station body, a charging module, and a power supply module. The charging module comprises an electrode assembly. The electrode assembly comprises a movable arm, an elastic member, and an electrode plate. The movable arm is movably connected to the base station body. The elastic member is configured to apply a force to the connected movable arm in a direction away from the base station body. The electrode plate comprises an elastic portion, and the elastic portion is configured to abut against a charging terminal of the cleaning device. The power supply module is disposed on the base station body, and is configured to supply power to the charging module.",20260709
